Sample in Buffer,Sample in Window,TRIGGER,test_OBUF,r_rst,r_vaild,r_cnt[6:0],r_alu_flags_rom[3:0],w_alu_flags[3:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,UNSIGNED,HEX,HEX
825,825,0,1,0,1,58,a,a
826,826,0,1,0,1,59,0,0
827,827,0,1,0,1,60,3,3
828,828,0,1,0,1,61,8,8
829,829,0,1,0,1,62,2,2
830,830,0,1,0,1,63,a,a
831,831,0,1,0,1,64,0,0
832,832,0,1,0,1,65,8,8
833,833,0,1,0,1,66,8,8
834,834,0,1,0,1,67,8,8
835,835,0,1,0,1,68,0,0
836,836,0,1,0,1,69,8,8
837,837,0,1,0,1,70,2,2
838,838,0,1,0,1,71,8,8
839,839,0,1,0,1,72,8,8
840,840,0,1,0,1,73,0,0
841,841,0,1,0,1,74,0,0
842,842,0,1,0,1,75,0,0
843,843,0,1,0,1,76,2,2
844,844,0,1,0,1,77,0,0
845,845,0,1,0,1,78,a,a
846,846,0,1,0,1,79,a,a
847,847,0,1,0,1,80,0,0
848,848,0,1,0,1,81,8,8
849,849,0,1,0,1,82,0,0
850,850,0,1,0,1,83,8,8
851,851,0,1,0,1,84,3,3
852,852,0,1,0,1,85,8,8
853,853,0,1,0,1,86,2,2
854,854,0,1,0,1,87,8,8
855,855,0,1,0,1,88,2,2
856,856,0,1,0,1,89,2,2
857,857,0,1,0,1,90,9,9
858,858,0,1,0,1,91,2,2
859,859,0,1,0,1,92,3,3
860,860,0,1,0,1,93,8,8
861,861,0,1,0,1,94,a,a
862,862,0,1,0,1,95,8,8
863,863,0,1,0,1,96,3,3
864,864,0,1,0,1,97,8,8
865,865,0,1,0,1,98,2,2
866,866,0,1,0,1,99,0,0
867,867,0,1,0,1,100,9,9
868,868,0,1,0,1,101,8,8
869,869,0,1,0,1,102,2,2
870,870,0,1,0,1,103,3,3
871,871,0,1,0,1,104,8,8
872,872,0,1,0,1,105,8,8
873,873,0,1,0,1,106,0,0
874,874,0,1,0,1,107,0,0
875,875,0,1,0,1,108,2,2
876,876,0,1,0,1,109,0,0
877,877,0,1,0,1,110,3,3
878,878,0,1,0,1,111,a,a
879,879,0,1,0,1,112,8,8
880,880,0,1,0,1,113,a,a
881,881,0,1,0,1,114,2,2
882,882,0,1,0,1,115,a,a
883,883,0,1,0,1,116,0,0
884,884,0,1,0,1,117,0,0
885,885,0,1,0,1,118,8,8
886,886,0,1,0,1,119,2,2
887,887,0,1,0,1,120,0,0
888,888,0,1,0,1,121,0,0
889,889,0,1,0,1,122,0,0
890,890,0,1,0,1,123,8,8
891,891,0,1,0,1,124,9,9
892,892,0,1,0,1,125,8,8
893,893,0,1,0,1,126,8,8
894,894,0,1,0,1,127,0,0
895,895,0,1,0,1,0,0,0
